make_model_id,color,fuel_type,transmission,manufacturer_country,manufacturer_address,manufacturer_phone_number
Subaru-Outback,gray,Diesel,A,China,15 PORTAGE PARKWAY,+86 (254) 633-9721
Subaru-Forester,orange,Hybrid,A,Pakistan,5021 JOHN WALL PARKWAY,+92 (582) 966-4100
Honda-Civic,purple,Hybrid,A,Argentina,77 VALLEY EDGE CROSSING,+54 (945) 234-8690
Jeep-Wrangler,yellow,Diesel,A,Indonesia,5 ELGAR TERRACE,+62 (922) 178-6022
Audi-A4,white,Gasoline,M,Brazil,0 7TH DRIVE,+55 (809) 112-4326
Toyota-Prius,purple,Hybrid,A,Argentina,994 STEPHEN HILL,+54 (349) 963-9685
Toyota-Camry,silver,Gasoline,A,Czech Republic,0852 KENNEDY STREET,+420 (500) 896-7449
Toyota-Corolla,yellow,Gasoline,M,Zambia,28 NORTHVIEW TRAIL,+260 (763) 387-9838
Toyota-4Runner,blue,Gasoline,M,Czech Republic,3756 NOVA AVENUE,+420 (688) 742-6871
Chevrolet-Cruze,silver,Hybrid,M,Russia,81 HINTZE PLAZA,+7 (210) 702-8835
Chevrolet-Corvette,yellow,Diesel,M,Albania,808 REINKE PARK,+355 (612) 368-6641
Chevrolet-Silverado,blue,Diesel,M,French Guiana,88273 BASHFORD TRAIL,+594 (374) 454-4112
Kia-Soul,black,Diesel,M,Vietnam,6 SHOSHONE PLACE,+84 (245) 533-8053
Ford-Mustang,green,Diesel,M,Sweden,5912 RAMSEY CIRCLE,+46 (640) 289-2033
Ford-Escape,white,Hybrid,M,Japan,638 TOBAN CIRCLE,+81 (807) 420-9462
Ford-Explorer,silver,Gasoline,A,Vietnam,789 MUIR TRAIL,+84 (364) 434-3333
Volvo-XC40,yellow,Gasoline,M,France,28 RUSKIN PLAZA,+33 (837) 113-1000
